participant_id,age,age_20_or_above,gender,race_ethnicity,first_generation,family_income_bracket,pell_grant,loan_status,dependent_care,institution_control,institution_selectivity,tuition_fees_thousand,major_group,commute_minutes,hs_gpa,english_proficiency,remedial_coursework,enrollment_status,enrollment_units,credits_attempted,credits_earned,course_completion_rate,off_campus_work_hours,high_work_intensity,oncampus_work_hours,total_work_hours,job_related_to_major,schedule_variability,schedule_control,study_hours_per_week,sleep_hours,fin_strain_pay_tuition,fin_strain_living_costs,fin_strain_food_housing,fin_strain_need_work_income,engage_study_effort,engage_class_attendance,engage_class_participation,engage_faculty_contact,engage_peer_learning,support_advising_quality,support_faculty_care,support_belonging,support_resource_use,efficacy_manage_time,efficacy_complete_assignments,efficacy_ask_for_help,efficacy_recover_setbacks,work_conflict_missed_study,work_conflict_schedule_overlap,work_conflict_tired_in_class,work_conflict_missed_campus,work_value_applies_learning,work_value_career_skills,work_value_professional_network,work_value_motivation,wellbeing_stress,wellbeing_exhaustion,wellbeing_sleep_problems,wellbeing_overwhelmed,financial_strain_index,academic_engagement_index,institution_support_index,self_efficacy_index,work_academic_conflict_index,work_career_value_index,mental_strain_index,term_gpa,cumulative_gpa,persistence_score,enrolled_next_year,not_persisted
66,21,1,man,white,1,low,1,1,0,private_nonprofit,open_access,5.9,health,35,2.96,4.23,1,part_time,15.4,15.4,10.6,0.691,35,1,7,42,0,4,2,5.3,5.8,3,1,3,2,2,4,3,2,3,3,3,1,3,4,3,3,2,5,4,3,3,2,1,1,2,3,4,2,4,2.25,2.8,2.5,3.0,3.75,1.5,3.25,1.6,2.12,3.05,1,0
67,19,0,woman,black,1,middle,0,0,1,public,minimally_selective,5.7,stem,30,1.6,2.06,0,full_time,9.0,9.0,5.0,0.558,34,1,0,34,1,4,4,1.0,6.0,5,4,3,3,3,3,4,3,2,2,3,4,3,1,1,1,2,4,5,4,5,3,3,2,1,5,5,4,3,3.75,3.0,3.0,1.25,4.5,2.25,4.25,0.94,1.3,2.42,0,1
68,24,1,man,black,0,high,0,0,0,public,minimally_selective,7.6,business,25,2.17,2.57,1,full_time,11.8,11.8,9.3,0.789,17,0,0,17,0,5,2,5.8,7.1,3,1,2,2,3,3,4,3,3,2,3,4,3,1,1,1,1,3,2,3,3,4,3,4,5,5,5,5,3,2.0,3.2,3.0,1.0,2.75,4.0,4.5,1.7,1.99,3.28,1,0
69,19,0,man,black,1,middle,0,0,1,public,open_access,5.2,health,21,2.47,4.52,1,full_time,14.7,14.7,9.0,0.61,40,1,0,40,0,4,2,1.0,5.9,4,2,3,4,2,2,2,2,4,5,4,5,4,1,2,1,2,4,5,5,5,4,4,2,2,4,3,3,2,3.25,2.4,4.5,1.5,4.75,3.0,3.0,2.15,2.27,2.88,0,1
70,20,1,woman,white,1,middle,0,1,0,public,moderately_selective,6.3,business,28,3.0,4.47,0,full_time,13.1,13.1,9.7,0.739,25,1,5,30,1,3,3,9.4,6.9,2,3,3,3,2,3,1,3,4,5,4,5,5,3,4,5,4,3,3,3,5,3,2,3,2,1,1,2,3,2.75,2.6,4.75,4.0,3.5,2.5,1.75,2.83,3.01,3.25,1,0
71,19,0,woman,multiracial_or_other,1,low,1,0,0,private_nonprofit,highly_selective,6.7,health,38,4.0,4.74,0,part_time,9.6,9.6,8.9,0.929,41,1,3,44,0,3,4,11.1,4.6,4,4,2,3,5,3,4,2,5,1,3,2,1,4,5,5,3,4,3,3,4,4,3,3,5,4,4,4,5,3.25,3.8,1.75,4.25,3.5,3.75,4.25,3.59,3.79,3.75,0,1
72,19,0,woman,white,0,middle,1,0,0,public,minimally_selective,5.0,business,12,3.21,4.0,0,part_time,8.3,8.3,7.0,0.84,23,1,11,34,0,4,3,2.2,6.8,3,4,3,5,1,3,4,4,2,2,3,3,4,3,3,3,3,3,3,4,5,2,3,2,2,2,2,2,3,3.75,2.8,3.0,3.0,3.75,2.25,2.25,2.76,2.89,2.89,1,0
73,21,1,man,white,1,high,0,0,0,public,minimally_selective,7.7,social_science,48,3.41,5.0,1,part_time,12.3,12.3,8.5,0.691,28,1,0,28,1,3,5,13.6,6.5,3,3,2,2,2,2,2,3,2,3,2,1,1,4,4,4,4,3,2,3,3,5,4,5,4,4,5,3,5,2.5,2.2,1.75,4.0,2.75,4.5,4.25,2.48,2.32,3.12,1,0
74,24,1,woman,asian,1,high,1,0,0,public,open_access,4.1,social_science,28,2.03,3.12,0,full_time,16.8,16.8,11.9,0.709,24,1,0,24,0,4,3,10.1,6.9,1,2,1,1,4,5,5,2,3,3,2,3,2,2,3,2,3,4,4,1,4,4,3,3,4,1,2,1,1,1.25,3.8,2.5,2.5,3.25,3.5,1.25,2.09,2.33,3.51,1,0
75,18,0,man,hispanic_latino,0,low,1,1,0,public,open_access,4.6,arts_humanities,28,3.68,3.4,0,part_time,11.2,11.2,8.6,0.771,29,1,0,29,0,5,2,3.2,5.7,5,5,5,4,3,2,4,2,1,1,3,2,5,1,2,2,1,4,4,3,5,1,2,2,1,5,5,5,3,4.75,2.4,2.75,1.5,4.0,1.5,4.5,2.65,3.21,2.94,0,1
76,26,1,woman,asian,1,middle,1,1,0,public,moderately_selective,7.0,business,42,3.02,3.87,0,full_time,13.9,13.9,13.0,0.932,21,1,0,21,0,4,2,9.6,5.8,4,4,4,3,2,5,5,4,4,2,3,3,1,3,4,5,3,2,3,3,3,3,4,3,4,3,4,3,3,3.75,4.0,2.25,3.75,2.75,3.5,3.25,2.73,2.69,3.45,0,1
77,18,0,man,white,1,low,1,1,0,public,minimally_selective,6.0,business,47,3.01,4.34,1,part_time,7.8,7.8,4.9,0.634,41,1,0,41,0,5,3,1.0,5.1,4,3,4,4,1,3,2,4,3,3,2,1,2,3,3,3,3,5,5,5,5,3,5,4,4,3,2,3,5,3.75,2.6,2.0,3.0,5.0,4.0,3.25,1.93,2.38,2.57,1,0
78,19,0,man,white,1,low,1,1,0,public,open_access,4.6,other,53,3.24,3.95,0,full_time,10.1,10.1,9.1,0.901,40,1,0,40,0,5,2,13.8,5.3,5,5,5,3,5,3,4,3,2,3,4,5,5,5,5,5,5,4,4,4,5,4,5,4,2,3,4,2,2,4.5,3.4,4.25,5.0,4.25,3.75,2.75,3.41,3.44,3.82,1,0
79,21,1,nonbinary_or_other,hispanic_latino,1,low,1,1,0,public,minimally_selective,8.0,stem,90,3.29,3.4,0,full_time,13.4,13.4,13.4,1.0,17,0,0,17,0,2,1,14.1,6.6,2,3,3,2,4,5,3,4,5,1,1,2,3,4,5,4,3,2,2,2,2,4,3,3,5,2,3,5,2,2.5,4.2,1.75,4.0,2.0,3.75,3.0,2.94,2.96,3.98,1,0
80,22,1,woman,asian,0,high,0,0,0,public,open_access,4.4,stem,25,2.82,3.54,1,full_time,15.7,15.7,12.1,0.771,14,0,0,14,1,3,3,13.5,7.1,3,3,3,3,4,4,2,3,3,3,4,2,2,2,1,3,1,2,1,2,1,2,1,4,2,1,3,2,2,3.0,3.2,2.75,1.75,1.5,2.25,2.0,2.6,2.71,3.47,1,0
81,20,1,woman,white,1,high,0,0,0,public,minimally_selective,7.3,stem,43,2.86,5.0,1,part_time,11.4,11.4,10.6,0.926,20,0,0,20,1,2,1,4.8,7.4,2,1,1,1,3,4,3,3,5,4,5,4,3,2,2,1,4,2,3,3,1,5,5,4,5,1,1,1,2,1.25,3.6,4.0,2.25,2.25,4.75,1.25,4.0,3.86,4.44,1,0
82,23,1,woman,asian,1,low,0,1,0,public,minimally_selective,7.2,social_science,35,3.18,3.94,0,full_time,14.1,14.1,13.3,0.946,10,0,0,10,1,2,5,9.5,6.2,3,4,3,4,3,2,3,2,3,2,3,2,2,4,3,5,5,3,1,2,1,4,4,4,4,3,5,5,5,3.5,2.6,2.25,4.25,1.75,4.0,4.5,3.67,3.41,3.38,1,0
83,18,0,nonbinary_or_other,multiracial_or_other,0,middle,0,0,0,public,minimally_selective,5.3,business,19,3.41,3.77,0,full_time,16.7,16.7,16.7,1.0,15,0,0,15,1,1,4,10.4,8.1,3,3,4,4,5,4,5,4,3,4,4,4,3,5,5,5,3,1,3,2,1,3,3,3,3,1,1,1,1,3.5,4.2,3.75,4.5,1.75,3.0,1.0,3.57,3.53,4.35,1,0
84,23,1,woman,hispanic_latino,0,middle,0,0,0,public,moderately_selective,6.4,stem,23,3.26,3.69,0,full_time,18.0,18.0,18.0,1.0,14,0,5,19,0,3,3,19.5,8.0,2,1,1,3,5,5,5,5,5,3,5,3,3,4,3,4,3,2,2,3,1,1,2,2,2,1,1,2,1,1.75,5.0,3.5,3.5,2.0,1.75,1.25,3.94,3.68,4.7,1,0
85,19,0,woman,asian,1,middle,0,1,0,public,minimally_selective,7.7,stem,25,2.73,3.6,0,full_time,16.1,16.1,16.1,1.0,12,0,0,12,1,1,3,7.1,7.0,3,2,3,4,5,4,4,5,4,4,5,5,5,2,2,3,4,3,2,1,2,3,4,1,3,4,2,1,1,3.0,4.4,4.75,2.75,2.0,2.75,2.0,3.03,3.25,4.27,1,0
86,20,1,man,white,0,middle,1,1,0,public,moderately_selective,7.6,business,69,2.37,5.0,0,part_time,12.5,12.5,9.9,0.791,40,1,0,40,1,5,2,5.3,6.4,5,3,3,3,5,2,4,2,3,5,4,5,4,3,4,4,2,5,5,4,4,3,3,3,3,4,4,5,4,3.5,3.2,4.5,3.25,4.5,3.0,4.25,2.51,2.47,3.66,1,0
87,33,1,woman,white,1,high,0,0,0,public,highly_selective,5.8,social_science,43,3.67,5.0,0,part_time,11.5,11.5,9.2,0.802,27,1,3,30,0,4,1,8.6,6.9,2,1,1,1,4,3,3,3,5,5,5,3,4,4,3,4,5,3,5,1,5,1,1,2,3,5,4,2,4,1.25,3.6,4.25,4.0,3.5,1.75,3.75,3.8,3.74,4.38,1,0
88,19,0,man,black,0,high,0,0,0,public,moderately_selective,5.0,arts_humanities,37,2.72,4.4,1,full_time,14.0,14.0,12.2,0.871,16,0,0,16,1,2,3,8.9,6.2,2,3,1,3,2,2,3,4,4,5,1,4,4,2,4,5,4,2,1,3,4,5,3,4,4,2,2,1,2,2.25,3.0,3.5,3.75,2.5,4.0,1.75,3.21,2.52,3.95,1,0
89,24,1,man,white,1,low,1,0,0,public,highly_selective,7.5,social_science,65,3.52,4.79,0,full_time,12.4,12.4,10.8,0.869,38,1,0,38,1,5,5,11.0,4.7,5,4,4,4,5,5,3,4,3,3,3,3,3,4,5,3,4,4,5,5,5,4,4,5,5,4,4,5,5,4.25,4.0,3.0,4.0,4.75,4.5,4.5,3.53,3.47,3.71,1,0
90,18,0,woman,black,1,low,1,1,0,private_nonprofit,moderately_selective,8.5,social_science,29,1.59,2.83,1,part_time,10.2,10.2,6.6,0.646,27,1,0,27,0,3,1,10.0,6.9,5,5,4,5,4,4,2,4,4,5,5,4,3,3,3,3,1,5,4,3,3,1,3,4,3,3,3,3,3,4.75,3.6,4.25,2.5,3.75,2.75,3.0,2.03,1.81,3.2,1,0
91,20,1,woman,black,0,high,0,0,0,public,open_access,4.7,business,36,2.23,3.25,1,full_time,14.3,14.3,9.1,0.637,30,1,0,30,1,5,2,8.5,5.1,3,4,3,2,3,3,2,3,2,2,2,3,4,5,3,5,3,5,4,4,3,5,5,5,5,5,5,5,5,3.0,2.6,2.75,4.0,4.0,5.0,5.0,1.6,2.04,2.96,0,1
92,18,0,woman,hispanic_latino,0,high,0,1,0,private_nonprofit,minimally_selective,7.7,arts_humanities,41,2.76,3.6,1,full_time,11.7,11.7,9.8,0.841,15,0,0,15,1,2,3,6.8,6.3,4,4,3,3,3,3,3,3,3,1,2,2,3,1,2,1,3,2,2,2,2,2,1,3,2,3,4,3,2,3.5,3.0,2.0,1.75,2.0,2.0,3.0,2.54,2.59,3.21,1,0
93,18,0,woman,white,0,high,1,0,0,public,open_access,5.1,arts_humanities,52,3.18,4.89,0,full_time,14.3,14.3,12.7,0.887,30,1,0,30,0,3,3,6.5,5.3,4,4,5,2,3,3,5,5,3,3,3,1,1,4,4,5,5,5,5,4,4,1,1,1,1,3,3,2,4,3.75,3.8,2.0,4.5,4.5,1.0,3.0,3.19,2.94,3.63,1,0
94,18,0,man,hispanic_latino,0,low,1,1,0,public,minimally_selective,4.2,stem,63,3.06,3.97,1,full_time,11.7,11.7,10.0,0.854,26,1,0,26,0,5,2,16.3,5.8,4,3,3,3,5,4,3,4,5,3,2,3,4,5,3,5,3,3,4,4,5,2,3,3,3,4,4,3,3,3.25,4.2,3.0,4.0,4.0,2.75,3.5,3.01,2.83,3.33,1,0
95,20,1,man,multiracial_or_other,1,high,0,0,0,private_nonprofit,minimally_selective,7.0,health,25,2.35,3.89,0,full_time,15.0,15.0,15.0,1.0,12,0,0,12,1,2,3,16.9,7.8,2,2,1,3,3,5,4,4,5,4,5,5,4,5,4,3,3,3,1,2,1,4,3,3,4,1,1,1,1,2.0,4.2,4.5,3.75,1.75,3.5,1.0,2.93,2.66,3.99,1,0
96,24,1,man,hispanic_latino,0,high,0,0,0,public,minimally_selective,7.5,stem,33,3.62,3.46,0,full_time,13.7,13.7,12.0,0.877,7,0,0,7,1,1,5,15.1,7.1,5,4,4,3,3,3,4,2,3,2,2,3,3,4,2,5,2,1,1,1,2,2,4,2,3,1,1,3,3,4.0,3.0,2.5,3.25,1.25,2.75,2.0,2.86,3.27,3.49,1,0
97,18,0,woman,white,0,high,0,0,0,public,minimally_selective,6.1,business,41,3.4,4.09,1,full_time,10.4,10.4,10.3,0.987,15,0,4,19,1,3,3,15.1,7.5,4,1,1,2,5,5,4,4,3,3,3,4,5,3,4,4,4,3,1,3,2,5,3,3,4,2,2,2,1,2.0,4.2,3.75,3.75,2.25,3.75,1.75,2.92,3.01,3.77,1,0
98,30,1,woman,hispanic_latino,1,low,1,0,0,public,open_access,7.1,business,23,3.27,4.01,0,part_time,11.9,11.9,9.6,0.807,36,1,0,36,1,1,5,4.9,5.4,5,5,5,4,4,5,3,3,4,4,2,2,5,3,3,4,4,5,5,4,4,5,3,4,4,5,5,5,5,4.75,3.8,3.25,3.5,4.5,4.0,5.0,2.96,3.18,3.11,1,0
99,18,0,woman,hispanic_latino,1,middle,0,0,0,private_nonprofit,minimally_selective,7.7,health,31,2.38,2.83,1,full_time,11.0,11.0,7.4,0.668,14,0,0,14,0,3,3,9.3,6.3,3,3,3,3,1,1,1,1,4,3,2,1,3,2,1,2,2,3,3,2,2,4,3,4,1,4,4,3,3,3.0,1.6,2.25,1.75,2.5,3.0,3.5,1.73,1.98,2.9,0,1
100,18,0,man,white,0,high,0,1,0,public,open_access,3.3,arts_humanities,25,2.84,3.82,0,full_time,12.5,12.5,12.0,0.961,12,0,0,12,1,3,2,16.2,6.8,3,4,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,1,2,1,3,3,2,3,4,2,1,2,2,4.0,4.8,4.75,5.0,1.75,3.0,1.75,3.36,3.11,4.11,1,0
101,23,1,woman,black,1,middle,1,0,0,public,moderately_selective,5.3,arts_humanities,23,3.63,3.35,1,part_time,15.9,15.9,15.9,1.0,22,1,0,22,0,2,3,20.3,6.6,3,1,2,3,5,5,4,5,5,5,3,5,4,5,4,3,5,2,3,2,3,5,4,5,4,2,1,2,3,2.25,4.8,4.25,4.25,2.5,4.5,2.0,3.87,3.8,4.37,1,0
102,22,1,man,white,1,middle,1,1,0,public,minimally_selective,7.2,arts_humanities,50,2.83,3.51,0,part_time,8.4,8.4,4.5,0.542,34,1,6,40,1,3,4,4.3,5.3,3,5,4,4,2,2,2,2,2,4,5,3,5,3,3,3,3,2,4,4,3,2,3,1,2,4,5,3,5,4.0,2.0,4.25,3.0,3.25,2.0,4.25,1.42,1.8,2.69,1,0
103,19,0,man,white,0,high,0,0,0,public,highly_selective,6.8,health,16,2.94,3.4,0,full_time,18.0,18.0,18.0,1.0,3,0,0,3,1,1,3,22.7,7.0,2,2,2,1,4,5,5,5,5,3,3,4,4,5,5,5,3,1,1,1,1,1,3,2,3,1,1,1,1,1.75,4.8,3.5,4.5,1.0,2.25,1.0,3.86,3.35,4.25,1,0
104,19,0,woman,multiracial_or_other,1,middle,0,1,0,public,highly_selective,8.0,social_science,12,3.5,3.94,0,full_time,15.6,15.6,15.6,1.0,15,0,0,15,0,1,3,15.9,6.8,3,3,2,5,4,4,5,5,4,4,4,4,5,4,3,2,3,2,3,2,2,1,2,2,4,1,2,1,3,3.25,4.4,4.25,3.0,2.25,2.25,1.75,3.66,3.82,4.32,1,0
105,19,0,man,hispanic_latino,1,low,1,1,0,private_nonprofit,minimally_selective,7.3,health,36,2.61,3.36,1,full_time,13.1,13.1,13.1,1.0,13,0,0,13,1,1,4,10.7,7.0,1,2,2,2,5,5,5,4,3,4,3,4,4,2,3,3,3,1,1,2,2,4,5,2,2,1,2,1,2,1.75,4.4,3.75,2.75,1.5,3.25,1.5,3.34,3.09,3.99,0,1
106,20,1,man,white,1,high,0,0,0,public,minimally_selective,4.0,arts_humanities,90,3.5,3.73,0,full_time,13.6,13.6,11.8,0.869,35,1,4,39,1,3,5,6.8,6.4,4,2,2,4,3,4,4,5,4,5,5,5,5,3,3,3,3,2,2,4,4,5,5,3,5,3,4,2,3,3.0,4.0,5.0,3.0,3.0,4.5,3.0,3.63,3.31,4.25,1,0
107,19,0,man,hispanic_latino,0,low,1,1,0,private_nonprofit,open_access,5.9,health,20,2.67,2.86,0,full_time,13.6,13.6,12.0,0.884,15,0,0,15,1,4,2,20.1,5.9,3,2,4,2,5,5,5,5,5,3,2,1,4,1,2,2,3,3,3,2,3,4,4,3,3,3,4,4,3,2.75,5.0,2.5,2.0,2.75,3.5,3.5,2.72,2.83,3.46,1,0
108,24,1,woman,white,0,high,0,0,0,public,minimally_selective,5.7,social_science,41,3.55,3.94,0,full_time,14.7,14.7,14.7,1.0,28,1,0,28,0,5,3,18.8,4.8,1,1,1,2,5,5,5,5,5,3,4,3,3,4,5,5,4,1,2,2,2,5,4,4,4,1,2,1,1,1.25,5.0,3.25,4.5,1.75,4.25,1.25,4.0,3.72,4.39,1,0
109,19,0,man,white,0,high,0,0,0,public,highly_selective,4.4,stem,25,2.79,3.83,0,part_time,7.3,7.3,6.9,0.939,22,1,0,22,1,2,4,19.0,6.6,2,2,2,2,5,5,5,5,5,3,2,2,2,2,3,5,4,2,3,4,2,5,5,5,5,2,1,3,2,2.0,5.0,2.25,3.5,2.75,5.0,2.0,3.85,3.47,4.6,0,1
110,18,0,woman,white,1,low,1,1,0,public,moderately_selective,7.4,other,25,2.45,2.14,0,full_time,12.8,12.8,7.2,0.565,32,1,0,32,1,4,5,9.5,5.3,4,5,5,5,2,3,1,2,1,3,1,3,1,4,2,3,3,2,3,4,3,5,3,4,4,5,4,5,2,4.75,1.8,2.0,3.0,3.0,4.0,4.0,0.92,1.63,1.95,0,1
111,23,1,man,hispanic_latino,1,low,1,1,0,public,minimally_selective,4.4,health,36,2.6,3.19,1,part_time,10.8,10.8,8.8,0.812,23,1,0,23,1,1,5,10.1,6.5,3,4,5,4,4,5,3,5,3,2,2,3,4,2,3,3,4,2,2,3,1,5,5,5,5,5,5,5,3,4.0,4.0,2.75,3.0,2.0,5.0,4.5,2.13,2.42,3.12,1,0
112,19,0,woman,asian,0,middle,1,1,0,public,open_access,3.5,health,18,1.94,2.96,1,part_time,9.0,9.0,4.2,0.463,28,1,0,28,0,5,4,6.0,6.3,3,3,4,4,2,2,1,1,2,3,3,3,1,1,1,2,1,3,2,4,3,4,4,5,5,2,5,2,2,3.5,1.6,2.5,1.25,3.0,4.5,2.75,0.91,1.46,2.42,0,1
113,18,0,woman,black,1,low,1,0,0,private_nonprofit,minimally_selective,6.0,arts_humanities,20,2.72,2.42,1,full_time,15.1,15.1,10.2,0.674,31,1,0,31,0,4,2,4.5,5.2,4,5,5,5,1,1,2,1,3,1,1,1,1,3,5,5,5,3,3,4,3,5,4,4,5,4,4,3,4,4.75,1.6,1.0,4.5,3.25,4.5,3.75,1.89,2.36,2.72,0,1
114,40,1,man,hispanic_latino,1,middle,1,1,0,public,moderately_selective,6.4,stem,57,2.51,3.17,0,full_time,15.7,15.7,11.1,0.704,32,1,7,39,0,4,4,10.2,6.1,2,3,1,2,1,1,3,3,3,1,3,3,2,3,3,4,3,3,4,3,4,3,4,4,2,3,3,3,4,2.0,2.2,2.25,3.25,3.5,3.25,3.25,1.92,2.07,2.92,0,1
115,21,1,man,white,0,low,1,1,0,public,open_access,4.1,stem,31,2.91,4.44,0,full_time,13.5,13.5,8.6,0.634,32,1,0,32,0,4,1,1.0,5.4,3,4,3,4,3,2,4,4,2,3,2,2,2,3,2,3,1,3,5,3,4,1,3,2,2,3,5,5,5,3.5,3.0,2.25,2.25,3.75,2.0,4.5,1.22,2.2,3.1,1,0
116,22,1,man,asian,1,low,1,0,0,public,open_access,5.3,social_science,29,2.91,3.51,0,part_time,6.0,6.0,5.0,0.826,21,1,5,26,0,4,5,6.0,5.9,3,3,4,3,3,3,4,2,4,2,3,3,3,3,4,3,1,3,3,3,4,1,1,1,2,2,3,5,3,3.25,3.2,2.75,2.75,3.25,1.25,3.25,2.6,2.64,2.83,1,0
117,18,0,woman,black,1,low,1,1,0,private_nonprofit,minimally_selective,6.0,stem,49,2.26,3.36,1,full_time,13.0,13.0,6.9,0.532,24,1,0,24,1,4,1,1.0,4.9,5,3,5,4,3,1,2,1,2,3,2,2,1,3,1,1,1,3,4,4,4,3,2,3,3,3,5,3,5,4.25,1.8,2.0,1.5,3.75,2.75,4.0,0.51,1.06,2.28,1,0
118,22,1,woman,multiracial_or_other,0,high,0,0,0,public,open_access,4.8,arts_humanities,13,2.58,4.39,0,full_time,10.9,10.9,8.4,0.77,9,0,0,9,1,3,1,6.8,7.7,4,4,2,4,2,4,1,2,4,3,3,4,3,4,2,1,3,4,3,2,2,2,3,2,3,4,2,1,1,3.5,2.6,3.25,2.5,2.75,2.5,2.0,2.59,2.53,3.72,0,1
119,18,0,man,white,0,low,0,0,0,private_for_profit,minimally_selective,8.4,stem,43,3.54,3.63,0,full_time,15.1,15.1,14.8,0.979,15,0,0,15,1,3,2,19.4,6.0,2,4,2,2,5,5,5,5,5,4,3,4,2,3,5,3,4,3,3,3,3,2,3,2,3,3,4,4,5,2.5,5.0,3.25,3.75,3.0,2.5,4.0,3.38,3.38,4.46,1,0
120,19,0,man,white,0,low,1,0,0,private_nonprofit,moderately_selective,8.6,stem,35,3.67,2.81,0,full_time,14.0,14.0,13.8,0.988,17,0,0,17,0,3,5,12.8,7.5,2,2,2,1,5,4,3,4,4,2,1,3,1,4,3,3,4,2,2,3,4,2,1,2,2,2,1,4,1,1.75,4.0,1.75,3.5,2.75,1.75,2.0,3.45,3.72,3.95,1,0
121,22,1,woman,hispanic_latino,0,high,0,1,0,public,minimally_selective,7.3,arts_humanities,15,3.56,3.75,0,part_time,12.3,12.3,9.0,0.733,33,1,0,33,1,3,2,4.0,6.1,3,4,3,4,2,2,3,3,2,4,1,1,1,4,4,5,5,4,5,3,3,5,4,4,5,4,3,3,2,3.5,2.4,1.75,4.5,3.75,4.5,3.0,2.25,2.67,3.39,1,0
122,24,1,woman,multiracial_or_other,1,low,0,1,0,public,moderately_selective,6.3,arts_humanities,44,2.19,2.71,1,part_time,9.1,9.1,6.9,0.761,23,1,0,23,0,3,4,4.1,6.5,4,3,4,3,4,3,3,4,3,2,3,2,3,1,1,1,2,2,1,3,2,1,3,3,4,2,3,3,3,3.5,3.4,2.5,1.25,2.0,2.75,2.75,2.21,2.14,2.9,0,1
123,18,0,man,black,1,low,0,1,0,private_nonprofit,minimally_selective,6.8,business,35,3.19,4.21,0,full_time,9.7,9.7,7.8,0.802,23,1,11,34,0,2,3,17.7,5.9,3,3,1,2,3,3,4,3,3,1,3,1,2,5,5,5,5,4,4,3,4,3,3,2,1,3,3,3,2,2.25,3.2,1.75,5.0,3.75,2.25,2.75,2.88,2.91,3.48,1,0
124,19,0,man,white,0,low,1,0,0,public,moderately_selective,4.9,stem,29,3.32,3.74,0,full_time,13.2,13.2,11.0,0.832,31,1,5,36,0,4,3,12.0,5.6,5,4,5,5,4,4,4,3,4,3,2,3,3,5,5,4,3,3,4,3,5,4,2,3,2,4,5,5,4,4.75,3.8,2.75,4.25,3.75,2.75,4.5,2.43,2.89,3.43,1,0
125,20,1,woman,white,0,high,0,1,0,public,moderately_selective,4.2,health,43,3.45,4.55,0,full_time,13.6,13.6,13.3,0.975,11,0,0,11,1,3,3,15.3,7.2,1,1,1,1,5,5,5,5,5,3,4,5,4,4,4,4,5,2,2,3,4,4,3,4,5,2,2,1,1,1.0,5.0,4.0,4.25,2.75,4.0,1.5,4.0,3.6,4.77,1,0
126,19,0,man,hispanic_latino,1,low,0,0,0,public,open_access,3.4,stem,24,2.86,2.89,1,full_time,13.1,13.1,9.2,0.701,22,1,0,22,0,3,5,10.0,6.0,3,3,2,4,3,3,4,3,2,3,1,2,1,5,4,4,4,4,4,3,4,5,3,4,5,5,5,5,4,3.0,3.0,1.75,4.25,3.75,4.25,4.75,2.18,2.38,3.01,1,0
127,19,0,man,black,1,low,1,0,0,public,moderately_selective,6.6,health,26,1.55,3.27,1,part_time,8.8,8.8,4.6,0.523,34,1,0,34,1,5,4,1.0,5.9,5,4,3,3,1,1,1,1,2,3,2,4,5,3,1,2,3,4,4,3,5,5,5,5,5,4,3,4,4,3.75,1.2,3.5,2.25,4.0,5.0,3.75,0.5,0.84,2.37,1,0
128,20,1,woman,hispanic_latino,1,low,1,0,0,private_nonprofit,minimally_selective,7.3,arts_humanities,27,2.01,1.89,1,full_time,10.9,10.9,5.3,0.483,41,1,0,41,0,3,2,1.0,5.7,5,5,5,5,1,2,1,1,2,4,4,4,3,1,1,2,1,5,5,5,5,3,2,3,2,5,5,5,5,5.0,1.4,3.75,1.25,5.0,2.5,5.0,0.5,1.18,2.47,0,1
129,20,1,woman,black,1,middle,1,0,0,public,highly_selective,7.7,health,17,2.34,2.49,1,full_time,16.1,16.1,12.9,0.8,11,0,1,12,1,4,4,7.7,6.0,3,3,1,5,3,3,2,4,5,4,4,2,5,2,2,2,1,3,3,3,3,4,5,5,3,3,4,4,3,3.0,3.4,3.75,1.75,3.0,4.25,3.5,2.68,2.55,3.82,0,1
130,22,1,woman,white,0,high,1,1,0,public,minimally_selective,6.7,health,20,3.95,5.0,1,full_time,13.4,13.4,11.2,0.837,13,0,0,13,0,1,2,7.6,6.0,1,1,1,1,2,3,3,1,4,2,2,3,1,4,3,3,3,2,2,2,1,2,2,3,3,1,1,2,1,1.0,2.6,2.0,3.25,1.75,2.5,1.25,3.73,3.86,3.61,1,0
131,22,1,man,white,1,middle,0,0,0,public,moderately_selective,7.2,business,42,3.59,3.3,0,part_time,7.3,7.3,4.1,0.56,36,1,4,40,0,4,2,2.6,5.6,4,3,4,3,3,1,1,3,1,1,2,1,2,3,2,3,3,4,4,3,5,2,3,1,4,5,5,5,5,3.5,1.8,1.5,2.75,4.0,2.5,5.0,1.57,2.08,1.94,1,0
132,19,0,man,asian,1,middle,1,0,0,private_nonprofit,highly_selective,6.9,arts_humanities,76,3.62,5.0,0,full_time,12.2,12.2,9.4,0.773,32,1,3,35,0,5,4,6.3,5.8,4,5,5,4,5,3,3,4,3,3,4,5,2,3,4,4,3,4,4,4,5,2,1,3,1,3,4,4,3,4.5,3.6,3.5,3.5,4.25,1.75,3.5,2.73,2.76,3.58,1,0
133,33,1,woman,asian,0,high,0,0,1,public,minimally_selective,6.8,other,26,4.0,3.75,1,part_time,10.7,10.7,10.0,0.933,8,0,0,8,1,2,5,13.3,7.2,3,2,4,3,2,2,2,3,3,2,1,1,2,5,5,4,5,3,1,2,1,4,5,5,4,2,3,1,4,3.0,2.4,1.5,4.75,1.75,4.5,2.5,3.59,3.68,3.4,1,0
